email,password,first_name,last_name,role,admission_number,employee_id
eshan.malhotra70@parent.nucleiq.in,Parent@123,Eshan,Malhotra,PARENT,STU0022,
reyansh.tiwari49@parent.nucleiq.in,Parent@123,Reyansh,Tiwari,PARENT,STU0023,
suresh.narayan98@parent.nucleiq.in,Parent@123,Suresh,Narayan,PARENT,STU0024,
karthik.sood77@parent.nucleiq.in,Parent@123,Karthik,Sood,PARENT,STU0025,
gaurav.malhotra93@parent.nucleiq.in,Parent@123,Gaurav,Malhotra,PARENT,STU0026,
dev.joshi68@parent.nucleiq.in,Parent@123,Dev,Joshi,PARENT,STU0027,
vihaan.kaur22@parent.nucleiq.in,Parent@123,Vihaan,Kaur,PARENT,STU0028,
anand.rathore21@parent.nucleiq.in,Parent@123,Anand,Rathore,PARENT,STU0029,
reyansh.yadav13@parent.nucleiq.in,Parent@123,Reyansh,Yadav,PARENT,STU0030,
kunal.ahuja2@parent.nucleiq.in,Parent@123,Kunal,Ahuja,PARENT,STU0031,
darsh.saxena45@parent.nucleiq.in,Parent@123,Darsh,Saxena,PARENT,STU0032,
deepak.pillai29@parent.nucleiq.in,Parent@123,Deepak,Pillai,PARENT,STU0033,
amit.gill12@parent.nucleiq.in,Parent@123,Amit,Gill,PARENT,STU0034,
virat.arora54@parent.nucleiq.in,Parent@123,Virat,Arora,PARENT,STU0035,
varun.chauhan9@parent.nucleiq.in,Parent@123,Varun,Chauhan,PARENT,STU0036,
tanmay.nair15@parent.nucleiq.in,Parent@123,Tanmay,Nair,PARENT,STU0037,
rohan.talwar61@parent.nucleiq.in,Parent@123,Rohan,Talwar,PARENT,STU0038,
dhruv.shukla60@parent.nucleiq.in,Parent@123,Dhruv,Shukla,PARENT,STU0039,
kartik.narayan54@parent.nucleiq.in,Parent@123,Kartik,Narayan,PARENT,STU0040,
kartik.mann69@parent.nucleiq.in,Parent@123,Kartik,Mann,PARENT,STU0041,
naveen.rathore57@parent.nucleiq.in,Parent@123,Naveen,Rathore,PARENT,STU0042,
arnav.ahuja18@parent.nucleiq.in,Parent@123,Arnav,Ahuja,PARENT,STU0043,
chandru.joshi78@parent.nucleiq.in,Parent@123,Chandru,Joshi,PARENT,STU0044,
dhruv.srivastava82@parent.nucleiq.in,Parent@123,Dhruv,Srivastava,PARENT,STU0045,
reyansh.menon1@parent.nucleiq.in,Parent@123,Reyansh,Menon,PARENT,STU0046,
mohit.ghosh40@parent.nucleiq.in,Parent@123,Mohit,Ghosh,PARENT,STU0047,
vihaan.rathore61@parent.nucleiq.in,Parent@123,Vihaan,Rathore,PARENT,STU0048,
om.saxena61@parent.nucleiq.in,Parent@123,Om,Saxena,PARENT,STU0049,
amit.gupta33@parent.nucleiq.in,Parent@123,Amit,Gupta,PARENT,STU0050,
amit.bedi17@parent.nucleiq.in,Parent@123,Amit,Bedi,PARENT,STU0051,
atharv.chauhan42@parent.nucleiq.in,Parent@123,Atharv,Chauhan,PARENT,STU0052,
pavan.pillai85@parent.nucleiq.in,Parent@123,Pavan,Pillai,PARENT,STU0053,
om.yadav70@parent.nucleiq.in,Parent@123,Om,Yadav,PARENT,STU0054,
arjun.sethi47@parent.nucleiq.in,Parent@123,Arjun,Sethi,PARENT,STU0055,
ansh.sethi79@parent.nucleiq.in,Parent@123,Ansh,Sethi,PARENT,STU0056,
mahesh.rathore86@parent.nucleiq.in,Parent@123,Mahesh,Rathore,PARENT,STU0057,
tanmay.narayan92@parent.nucleiq.in,Parent@123,Tanmay,Narayan,PARENT,STU0058,
aarush.narayan13@parent.nucleiq.in,Parent@123,Aarush,Narayan,PARENT,STU0059,
reyansh.nair62@parent.nucleiq.in,Parent@123,Reyansh,Nair,PARENT,STU0060,
sai.jain64@parent.nucleiq.in,Parent@123,Sai,Jain,PARENT,STU0061,
advik.gupta96@parent.nucleiq.in,Parent@123,Advik,Gupta,PARENT,STU0062,
aditya.ahuja74@parent.nucleiq.in,Parent@123,Aditya,Ahuja,PARENT,STU0063,
ansh.mann26@parent.nucleiq.in,Parent@123,Ansh,Mann,PARENT,STU0064,
prateek.kaur17@parent.nucleiq.in,Parent@123,Prateek,Kaur,PARENT,STU0065,
sahil.malhotra29@parent.nucleiq.in,Parent@123,Sahil,Malhotra,PARENT,STU0066,
dinesh.reddy66@parent.nucleiq.in,Parent@123,Dinesh,Reddy,PARENT,STU0067,
advaith.patel17@parent.nucleiq.in,Parent@123,Advaith,Patel,PARENT,STU0068,
sahil.rathore19@parent.nucleiq.in,Parent@123,Sahil,Rathore,PARENT,STU0069,
chandru.jain29@parent.nucleiq.in,Parent@123,Chandru,Jain,PARENT,STU0070,
atharv.agarwal85@parent.nucleiq.in,Parent@123,Atharv,Agarwal,PARENT,STU0071,
prateek.kaur11@parent.nucleiq.in,Parent@123,Prateek,Kaur,PARENT,STU0072,
eshan.yadav96@parent.nucleiq.in,Parent@123,Eshan,Yadav,PARENT,STU0073,
nikhil.sood13@parent.nucleiq.in,Parent@123,Nikhil,Sood,PARENT,STU0074,
dinesh.menon92@parent.nucleiq.in,Parent@123,Dinesh,Menon,PARENT,STU0075,
rudra.malhotra52@parent.nucleiq.in,Parent@123,Rudra,Malhotra,PARENT,STU0076,
aarush.bedi37@parent.nucleiq.in,Parent@123,Aarush,Bedi,PARENT,STU0077,
irfan.kaur79@parent.nucleiq.in,Parent@123,Irfan,Kaur,PARENT,STU0078,
kabir.gill14@parent.nucleiq.in,Parent@123,Kabir,Gill,PARENT,STU0079,
advik.mehta32@parent.nucleiq.in,Parent@123,Advik,Mehta,PARENT,STU0080,
darsh.shukla29@parent.nucleiq.in,Parent@123,Darsh,Shukla,PARENT,STU0081,
vikram.thakur33@parent.nucleiq.in,Parent@123,Vikram,Thakur,PARENT,STU0082,
dev.bhatt24@parent.nucleiq.in,Parent@123,Dev,Bhatt,PARENT,STU0083,
kunal.joshi94@parent.nucleiq.in,Parent@123,Kunal,Joshi,PARENT,STU0084,
shaurya.khanna85@parent.nucleiq.in,Parent@123,Shaurya,Khanna,PARENT,STU0085,
suresh.agarwal39@parent.nucleiq.in,Parent@123,Suresh,Agarwal,PARENT,STU0086,
virat.joshi43@parent.nucleiq.in,Parent@123,Virat,Joshi,PARENT,STU0087,
ishaan.shah91@parent.nucleiq.in,Parent@123,Ishaan,Shah,PARENT,STU0088,
raj.verma60@parent.nucleiq.in,Parent@123,Raj,Verma,PARENT,STU0089,
naveen.chauhan86@parent.nucleiq.in,Parent@123,Naveen,Chauhan,PARENT,STU0090,
darsh.agarwal76@parent.nucleiq.in,Parent@123,Darsh,Agarwal,PARENT,STU0091,
arjun.banerjee67@parent.nucleiq.in,Parent@123,Arjun,Banerjee,PARENT,STU0092,
pavan.gupta67@parent.nucleiq.in,Parent@123,Pavan,Gupta,PARENT,STU0093,
akshay.srivastava74@parent.nucleiq.in,Parent@123,Akshay,Srivastava,PARENT,STU0094,
reyansh.banerjee35@parent.nucleiq.in,Parent@123,Reyansh,Banerjee,PARENT,STU0095,
atharv.ghosh98@parent.nucleiq.in,Parent@123,Atharv,Ghosh,PARENT,STU0096,
rahul.agarwal17@parent.nucleiq.in,Parent@123,Rahul,Agarwal,PARENT,STU0097,
arnav.das42@parent.nucleiq.in,Parent@123,Arnav,Das,PARENT,STU0098,
karthik.chopra55@parent.nucleiq.in,Parent@123,Karthik,Chopra,PARENT,STU0099,
ayaan.srivastava48@parent.nucleiq.in,Parent@123,Ayaan,Srivastava,PARENT,STU0100,
vikram.reddy85@parent.nucleiq.in,Parent@123,Vikram,Reddy,PARENT,STU0101,
bharath.thakur19@parent.nucleiq.in,Parent@123,Bharath,Thakur,PARENT,STU0102,
aarav.kapoor75@parent.nucleiq.in,Parent@123,Aarav,Kapoor,PARENT,STU0103,
manish.mehta95@parent.nucleiq.in,Parent@123,Manish,Mehta,PARENT,STU0104,
manish.pillai5@parent.nucleiq.in,Parent@123,Manish,Pillai,PARENT,STU0105,
sai.nair96@parent.nucleiq.in,Parent@123,Sai,Nair,PARENT,STU0106,
pranav.saxena50@parent.nucleiq.in,Parent@123,Pranav,Saxena,PARENT,STU0107,
siddharth.arora81@parent.nucleiq.in,Parent@123,Siddharth,Arora,PARENT,STU0108,
kabir.singh7@parent.nucleiq.in,Parent@123,Kabir,Singh,PARENT,STU0109,
manish.iyer26@parent.nucleiq.in,Parent@123,Manish,Iyer,PARENT,STU0110,
rishi.bhatt24@parent.nucleiq.in,Parent@123,Rishi,Bhatt,PARENT,STU0111,
akshay.sood2@parent.nucleiq.in,Parent@123,Akshay,Sood,PARENT,STU0112,
ritvik.agarwal19@parent.nucleiq.in,Parent@123,Ritvik,Agarwal,PARENT,STU0113,
kian.kapoor82@parent.nucleiq.in,Parent@123,Kian,Kapoor,PARENT,STU0114,
vikram.mehta5@parent.nucleiq.in,Parent@123,Vikram,Mehta,PARENT,STU0115,
krishna.srivastava31@parent.nucleiq.in,Parent@123,Krishna,Srivastava,PARENT,STU0116,
reyansh.rathore21@parent.nucleiq.in,Parent@123,Reyansh,Rathore,PARENT,STU0117,
vihaan.bhatt51@parent.nucleiq.in,Parent@123,Vihaan,Bhatt,PARENT,STU0118,
amit.bhatia42@parent.nucleiq.in,Parent@123,Amit,Bhatia,PARENT,STU0119,
gaurav.shukla2@parent.nucleiq.in,Parent@123,Gaurav,Shukla,PARENT,STU0120,
naveen.arora74@parent.nucleiq.in,Parent@123,Naveen,Arora,PARENT,STU0121,
advaith.khanna62@parent.nucleiq.in,Parent@123,Advaith,Khanna,PARENT,STU0122,
akshay.verma62@parent.nucleiq.in,Parent@123,Akshay,Verma,PARENT,STU0123,
ishaan.bhatt45@parent.nucleiq.in,Parent@123,Ishaan,Bhatt,PARENT,STU0124,
advaith.gill25@parent.nucleiq.in,Parent@123,Advaith,Gill,PARENT,STU0125,
vikram.mann81@parent.nucleiq.in,Parent@123,Vikram,Mann,PARENT,STU0126,
chandru.shukla74@parent.nucleiq.in,Parent@123,Chandru,Shukla,PARENT,STU0127,
gopal.malhotra52@parent.nucleiq.in,Parent@123,Gopal,Malhotra,PARENT,STU0128,
nikhil.shah58@parent.nucleiq.in,Parent@123,Nikhil,Shah,PARENT,STU0129,
chandru.menon28@parent.nucleiq.in,Parent@123,Chandru,Menon,PARENT,STU0130,
yash.patel59@parent.nucleiq.in,Parent@123,Yash,Patel,PARENT,STU0131,
gaurav.mukherjee80@parent.nucleiq.in,Parent@123,Gaurav,Mukherjee,PARENT,STU0132,
varun.saxena34@parent.nucleiq.in,Parent@123,Varun,Saxena,PARENT,STU0133,
eshan.dhawan70@parent.nucleiq.in,Parent@123,Eshan,Dhawan,PARENT,STU0134,
suresh.banerjee57@parent.nucleiq.in,Parent@123,Suresh,Banerjee,PARENT,STU0135,
tanmay.mukherjee16@parent.nucleiq.in,Parent@123,Tanmay,Mukherjee,PARENT,STU0136,
amit.mann96@parent.nucleiq.in,Parent@123,Amit,Mann,PARENT,STU0137,
pranav.malhotra36@parent.nucleiq.in,Parent@123,Pranav,Malhotra,PARENT,STU0138,
mohit.narayan84@parent.nucleiq.in,Parent@123,Mohit,Narayan,PARENT,STU0139,
mohit.bhatt99@parent.nucleiq.in,Parent@123,Mohit,Bhatt,PARENT,STU0140,
bharath.kumar66@parent.nucleiq.in,Parent@123,Bharath,Kumar,PARENT,STU0141,
virat.patel44@parent.nucleiq.in,Parent@123,Virat,Patel,PARENT,STU0142,
rohan.thakur44@parent.nucleiq.in,Parent@123,Rohan,Thakur,PARENT,STU0143,
kian.nair24@parent.nucleiq.in,Parent@123,Kian,Nair,PARENT,STU0144,
deepak.ghosh33@parent.nucleiq.in,Parent@123,Deepak,Ghosh,PARENT,STU0145,
kartik.yadav44@parent.nucleiq.in,Parent@123,Kartik,Yadav,PARENT,STU0146,
mohit.mishra63@parent.nucleiq.in,Parent@123,Mohit,Mishra,PARENT,STU0147,
vihaan.ghosh99@parent.nucleiq.in,Parent@123,Vihaan,Ghosh,PARENT,STU0148,
siddharth.kumar71@parent.nucleiq.in,Parent@123,Siddharth,Kumar,PARENT,STU0149,
chandru.chopra59@parent.nucleiq.in,Parent@123,Chandru,Chopra,PARENT,STU0150,
rohan.arora85@parent.nucleiq.in,Parent@123,Rohan,Arora,PARENT,STU0151,
arnav.patel13@parent.nucleiq.in,Parent@123,Arnav,Patel,PARENT,STU0152,
gopal.gill86@parent.nucleiq.in,Parent@123,Gopal,Gill,PARENT,STU0153,
dinesh.arora44@parent.nucleiq.in,Parent@123,Dinesh,Arora,PARENT,STU0154,
rishi.pillai98@parent.nucleiq.in,Parent@123,Rishi,Pillai,PARENT,STU0155,
hari.ahuja67@parent.nucleiq.in,Parent@123,Hari,Ahuja,PARENT,STU0156,
prateek.bhatt34@parent.nucleiq.in,Parent@123,Prateek,Bhatt,PARENT,STU0157,
shaurya.patel9@parent.nucleiq.in,Parent@123,Shaurya,Patel,PARENT,STU0158,
hari.pillai47@parent.nucleiq.in,Parent@123,Hari,Pillai,PARENT,STU0159,
tanmay.kaur55@parent.nucleiq.in,Parent@123,Tanmay,Kaur,PARENT,STU0160,
mohit.mann83@parent.nucleiq.in,Parent@123,Mohit,Mann,PARENT,STU0161,
amit.pillai4@parent.nucleiq.in,Parent@123,Amit,Pillai,PARENT,STU0162,
reyansh.mukherjee70@parent.nucleiq.in,Parent@123,Reyansh,Mukherjee,PARENT,STU0163,
kabir.kumar17@parent.nucleiq.in,Parent@123,Kabir,Kumar,PARENT,STU0164,
kian.sood13@parent.nucleiq.in,Parent@123,Kian,Sood,PARENT,STU0165,
aditya.gill30@parent.nucleiq.in,Parent@123,Aditya,Gill,PARENT,STU0166,
arjun.thakur59@parent.nucleiq.in,Parent@123,Arjun,Thakur,PARENT,STU0167,
pavan.bajaj15@parent.nucleiq.in,Parent@123,Pavan,Bajaj,PARENT,STU0168,
kabir.dubey16@parent.nucleiq.in,Parent@123,Kabir,Dubey,PARENT,STU0169,
krishna.rathore71@parent.nucleiq.in,Parent@123,Krishna,Rathore,PARENT,STU0170,
suresh.shukla92@parent.nucleiq.in,Parent@123,Suresh,Shukla,PARENT,STU0171,
atharv.srivastava38@parent.nucleiq.in,Parent@123,Atharv,Srivastava,PARENT,STU0172,
mohit.iyer17@parent.nucleiq.in,Parent@123,Mohit,Iyer,PARENT,STU0173,
shaurya.sood45@parent.nucleiq.in,Parent@123,Shaurya,Sood,PARENT,STU0174,
gaurav.pillai40@parent.nucleiq.in,Parent@123,Gaurav,Pillai,PARENT,STU0175,
karthik.khanna58@parent.nucleiq.in,Parent@123,Karthik,Khanna,PARENT,STU0176,
chandru.ghosh56@parent.nucleiq.in,Parent@123,Chandru,Ghosh,PARENT,STU0177,
suresh.kapoor71@parent.nucleiq.in,Parent@123,Suresh,Kapoor,PARENT,STU0178,
siddharth.dhawan11@parent.nucleiq.in,Parent@123,Siddharth,Dhawan,PARENT,STU0179,
hari.talwar65@parent.nucleiq.in,Parent@123,Hari,Talwar,PARENT,STU0180,
siddharth.sharma24@parent.nucleiq.in,Parent@123,Siddharth,Sharma,PARENT,STU0181,
reyansh.sharma51@parent.nucleiq.in,Parent@123,Reyansh,Sharma,PARENT,STU0182,
kabir.jain66@parent.nucleiq.in,Parent@123,Kabir,Jain,PARENT,STU0183,
vikram.banerjee25@parent.nucleiq.in,Parent@123,Vikram,Banerjee,PARENT,STU0184,
dinesh.khanna19@parent.nucleiq.in,Parent@123,Dinesh,Khanna,PARENT,STU0185,
arnav.dhawan88@parent.nucleiq.in,Parent@123,Arnav,Dhawan,PARENT,STU0186,
gaurav.yadav29@parent.nucleiq.in,Parent@123,Gaurav,Yadav,PARENT,STU0187,
reyansh.mishra3@parent.nucleiq.in,Parent@123,Reyansh,Mishra,PARENT,STU0188,
irfan.mann26@parent.nucleiq.in,Parent@123,Irfan,Mann,PARENT,STU0189,
amit.rao94@parent.nucleiq.in,Parent@123,Amit,Rao,PARENT,STU0190,
farhan.rao96@parent.nucleiq.in,Parent@123,Farhan,Rao,PARENT,STU0191,
bharath.rao46@parent.nucleiq.in,Parent@123,Bharath,Rao,PARENT,STU0192,
kabir.kumar68@parent.nucleiq.in,Parent@123,Kabir,Kumar,PARENT,STU0193,
shaurya.saxena77@parent.nucleiq.in,Parent@123,Shaurya,Saxena,PARENT,STU0194,
kunal.nair20@parent.nucleiq.in,Parent@123,Kunal,Nair,PARENT,STU0195,
rishi.mehta73@parent.nucleiq.in,Parent@123,Rishi,Mehta,PARENT,STU0196,
advik.rathore68@parent.nucleiq.in,Parent@123,Advik,Rathore,PARENT,STU0197,
rohan.pillai68@parent.nucleiq.in,Parent@123,Rohan,Pillai,PARENT,STU0198,
ishaan.narayan7@parent.nucleiq.in,Parent@123,Ishaan,Narayan,PARENT,STU0199,
deepak.mann69@parent.nucleiq.in,Parent@123,Deepak,Mann,PARENT,STU0200,
arnav.rao78@school.edu.in,Teacher@123,Arnav,Rao,TEACHER,,EMP006
tanvi.ghosh41@school.edu.in,Teacher@123,Tanvi,Ghosh,TEACHER,,EMP007
anika.menon69@school.edu.in,Teacher@123,Anika,Menon,TEACHER,,EMP008
tanmay.reddy9@school.edu.in,Teacher@123,Tanmay,Reddy,TEACHER,,EMP009
gaurav.thakur56@school.edu.in,Teacher@123,Gaurav,Thakur,TEACHER,,EMP010
deepa.narayan20@school.edu.in,Teacher@123,Deepa,Narayan,TEACHER,,EMP011
saanvi.shah9@school.edu.in,Teacher@123,Saanvi,Shah,TEACHER,,EMP012
kabir.banerjee52@school.edu.in,Teacher@123,Kabir,Banerjee,TEACHER,,EMP013
arjun.gill30@school.edu.in,Teacher@123,Arjun,Gill,TEACHER,,EMP014
ritvik.bedi61@school.edu.in,Teacher@123,Ritvik,Bedi,TEACHER,,EMP015
sunita.kaur32@school.edu.in,Teacher@123,Sunita,Kaur,TEACHER,,EMP016
prisha.joshi22@school.edu.in,Teacher@123,Prisha,Joshi,TEACHER,,EMP017
siya.dhawan38@school.edu.in,Teacher@123,Siya,Dhawan,TEACHER,,EMP018
diya.sood9@school.edu.in,Teacher@123,Diya,Sood,TEACHER,,EMP019
varun.saxena86@school.edu.in,Teacher@123,Varun,Saxena,TEACHER,,EMP020
lata.sharma28@school.edu.in,Teacher@123,Lata,Sharma,TEACHER,,EMP021
avni.bhatt86@school.edu.in,Teacher@123,Avni,Bhatt,TEACHER,,EMP022
kabir.srivastava92@school.edu.in,Teacher@123,Kabir,Srivastava,TEACHER,,EMP023
nandini.dubey21@school.edu.in,Teacher@123,Nandini,Dubey,TEACHER,,EMP024
arjun.bedi56@school.edu.in,Teacher@123,Arjun,Bedi,TEACHER,,EMP025
dinesh.pillai80@school.edu.in,Teacher@123,Dinesh,Pillai,TEACHER,,EMP026
chandru.srivastava35@school.edu.in,Teacher@123,Chandru,Srivastava,TEACHER,,EMP027
ishita.chopra85@school.edu.in,Teacher@123,Ishita,Chopra,TEACHER,,EMP028
chitra.reddy77@school.edu.in,Teacher@123,Chitra,Reddy,TEACHER,,EMP029
