first_name,last_name,employee_id,joining_date,designation,middle_name,email,phone,alternate_phone,date_of_birth,gender,blood_group,employment_type,department,address,city,state,postal_code,aadhar_number,pan_number,salary,bank_account_number,bank_name,bank_ifsc,emergency_contact_name,emergency_contact_phone,experience_years
Priya,Verma,EMP0142,02-05-2018,HEAD_TEACHER,,priya.verma@school.edu,9000000141,,,F,,,Science,,,,,,,,,,,,,
Rakesh,Singh,EMP0143,08-06-2018,ACCOUNTANT,,rakesh.singh@school.edu,9000000142,,,M,,,English,,,,,,,,,,,,,
Ananya,Khan,EMP0144,15-07-2018,LIBRARIAN,,ananya.khan@school.edu,9000000143,,,F,,,Finance,,,,,,,,,,,,,
Sanjay,Gupta,EMP0145,21-08-2018,ADMIN,,sanjay.gupta@school.edu,9000000144,,,M,,,Library,,,,,,,,,,,,,
Nisha,Patel,EMP0146,27-09-2018,TEACHER,,nisha.patel@school.edu,9000000145,,,F,,,Administration,,,,,,,,,,,,,
Vikram,Rao,EMP0147,03-11-2018,HEAD_TEACHER,,vikram.rao@school.edu,9000000146,,,M,,,Computer,,,,,,,,,,,,,
Meera,Iyer,EMP0148,10-12-2018,ACCOUNTANT,,meera.iyer@school.edu,9000000147,,,F,,,Mathematics,,,,,,,,,,,,,
Karan,Mehta,EMP0149,16-01-2019,LIBRARIAN,,karan.mehta@school.edu,9000000148,,,M,,,Science,,,,,,,,,,,,,
Isha,Bose,EMP0150,22-02-2019,ADMIN,,isha.bose@school.edu,9000000149,,,F,,,English,,,,,,,,,,,,,
Amit,Sharma,EMP0151,31-03-2019,TEACHER,,amit.sharma@school.edu,9000000150,,,M,,,Finance,,,,,,,,,,,,,
Priya,Verma,EMP0152,07-05-2019,HEAD_TEACHER,,priya.verma@school.edu,9000000151,,,F,,,Library,,,,,,,,,,,,,
Rakesh,Singh,EMP0153,13-06-2019,ACCOUNTANT,,rakesh.singh@school.edu,9000000152,,,M,,,Administration,,,,,,,,,,,,,
Ananya,Khan,EMP0154,20-07-2019,LIBRARIAN,,ananya.khan@school.edu,9000000153,,,F,,,Computer,,,,,,,,,,,,,
Sanjay,Gupta,EMP0155,26-08-2019,ADMIN,,sanjay.gupta@school.edu,9000000154,,,M,,,Mathematics,,,,,,,,,,,,,
Nisha,Patel,EMP0156,02-10-2019,TEACHER,,nisha.patel@school.edu,9000000155,,,F,,,Science,,,,,,,,,,,,,
Vikram,Rao,EMP0157,08-11-2019,HEAD_TEACHER,,vikram.rao@school.edu,9000000156,,,M,,,English,,,,,,,,,,,,,
Meera,Iyer,EMP0158,15-12-2019,ACCOUNTANT,,meera.iyer@school.edu,9000000157,,,F,,,Finance,,,,,,,,,,,,,
Karan,Mehta,EMP0159,21-01-2020,LIBRARIAN,,karan.mehta@school.edu,9000000158,,,M,,,Library,,,,,,,,,,,,,
Isha,Bose,EMP0160,27-02-2020,ADMIN,,isha.bose@school.edu,9000000159,,,F,,,Administration,,,,,,,,,,,,,
Amit,Sharma,EMP0161,04-04-2020,TEACHER,,amit.sharma@school.edu,9000000160,,,M,,,Computer,,,,,,,,,,,,,
Priya,Verma,EMP0162,11-05-2020,HEAD_TEACHER,,priya.verma@school.edu,9000000161,,,F,,,Mathematics,,,,,,,,,,,,,
Rakesh,Singh,EMP0163,17-06-2020,ACCOUNTANT,,rakesh.singh@school.edu,9000000162,,,M,,,Science,,,,,,,,,,,,,
Ananya,Khan,EMP0164,24-07-2020,LIBRARIAN,,ananya.khan@school.edu,9000000163,,,F,,,English,,,,,,,,,,,,,
Sanjay,Gupta,EMP0165,30-08-2020,ADMIN,,sanjay.gupta@school.edu,9000000164,,,M,,,Finance,,,,,,,,,,,,,
Nisha,Patel,EMP0166,06-10-2020,TEACHER,,nisha.patel@school.edu,9000000165,,,F,,,Library,,,,,,,,,,,,,
Vikram,Rao,EMP0167,12-11-2020,HEAD_TEACHER,,vikram.rao@school.edu,9000000166,,,M,,,Administration,,,,,,,,,,,,,
Meera,Iyer,EMP0168,19-12-2020,ACCOUNTANT,,meera.iyer@school.edu,9000000167,,,F,,,Computer,,,,,,,,,,,,,
Karan,Mehta,EMP0169,25-01-2021,LIBRARIAN,,karan.mehta@school.edu,9000000168,,,M,,,Mathematics,,,,,,,,,,,,,
Isha,Bose,EMP0170,03-03-2021,ADMIN,,isha.bose@school.edu,9000000169,,,F,,,Science,,,,,,,,,,,,,
Amit,Sharma,EMP0171,09-04-2021,TEACHER,,amit.sharma@school.edu,9000000170,,,M,,,English,,,,,,,,,,,,,
Priya,Verma,EMP0172,16-05-2021,HEAD_TEACHER,,priya.verma@school.edu,9000000171,,,F,,,Finance,,,,,,,,,,,,,
Rakesh,Singh,EMP0173,22-06-2021,ACCOUNTANT,,rakesh.singh@school.edu,9000000172,,,M,,,Library,,,,,,,,,,,,,
Ananya,Khan,EMP0174,29-07-2021,LIBRARIAN,,ananya.khan@school.edu,9000000173,,,F,,,Administration,,,,,,,,,,,,,
Sanjay,Gupta,EMP0175,04-09-2021,ADMIN,,sanjay.gupta@school.edu,9000000174,,,M,,,Computer,,,,,,,,,,,,,
Nisha,Patel,EMP0176,11-10-2021,TEACHER,,nisha.patel@school.edu,9000000175,,,F,,,Mathematics,,,,,,,,,,,,,
Vikram,Rao,EMP0177,17-11-2021,HEAD_TEACHER,,vikram.rao@school.edu,9000000176,,,M,,,Science,,,,,,,,,,,,,
Meera,Iyer,EMP0178,24-12-2021,ACCOUNTANT,,meera.iyer@school.edu,9000000177,,,F,,,English,,,,,,,,,,,,,
Karan,Mehta,EMP0179,30-01-2022,LIBRARIAN,,karan.mehta@school.edu,9000000178,,,M,,,Finance,,,,,,,,,,,,,
Isha,Bose,EMP0180,08-03-2022,ADMIN,,isha.bose@school.edu,9000000179,,,F,,,Library,,,,,,,,,,,,,
Amit,Sharma,EMP0181,14-04-2022,TEACHER,,amit.sharma@school.edu,9000000180,,,M,,,Administration,,,,,,,,,,,,,
Priya,Verma,EMP0182,21-05-2022,HEAD_TEACHER,,priya.verma@school.edu,9000000181,,,F,,,Computer,,,,,,,,,,,,,
Rakesh,Singh,EMP0183,27-06-2022,ACCOUNTANT,,rakesh.singh@school.edu,9000000182,,,M,,,Mathematics,,,,,,,,,,,,,
Ananya,Khan,EMP0184,03-08-2022,LIBRARIAN,,ananya.khan@school.edu,9000000183,,,F,,,Science,,,,,,,,,,,,,
Sanjay,Gupta,EMP0185,09-09-2022,ADMIN,,sanjay.gupta@school.edu,9000000184,,,M,,,English,,,,,,,,,,,,,
Nisha,Patel,EMP0186,16-10-2022,TEACHER,,nisha.patel@school.edu,9000000185,,,F,,,Finance,,,,,,,,,,,,,
Vikram,Rao,EMP0187,22-11-2022,HEAD_TEACHER,,vikram.rao@school.edu,9000000186,,,M,,,Library,,,,,,,,,,,,,
Meera,Iyer,EMP0188,29-12-2022,ACCOUNTANT,,meera.iyer@school.edu,9000000187,,,F,,,Administration,,,,,,,,,,,,,
Karan,Mehta,EMP0189,04-02-2023,LIBRARIAN,,karan.mehta@school.edu,9000000188,,,M,,,Computer,,,,,,,,,,,,,
Isha,Bose,EMP0190,13-03-2023,ADMIN,,isha.bose@school.edu,9000000189,,,F,,,Mathematics,,,,,,,,,,,,,
Amit,Sharma,EMP0191,19-04-2023,TEACHER,,amit.sharma@school.edu,9000000190,,,M,,,Science,,,,,,,,,,,,,
Priya,Verma,EMP0192,26-05-2023,HEAD_TEACHER,,priya.verma@school.edu,9000000191,,,F,,,English,,,,,,,,,,,,,
